query-id	corpus-id	score
18674	0	1
18674	1	1
18674	2	1
13239	0	1
13239	1	1
13239	2	1
10855	0	1
10855	1	1
10855	2	1
15051	0	1
15051	1	1
15051	2	1
14920	0	1
14920	1	1
14920	2	1
2524	0	1
2524	1	1
2524	2	1
1441	0	1
1441	1	1
1441	2	1
462	0	1
462	1	1
462	2	1
540	0	1
540	1	1
540	2	1
5984	0	1
5984	1	1
5984	2	1
9462	0	1
9462	1	1
9462	2	1
15417	0	1
15417	1	1
15417	2	1
16867	0	1
16867	1	1
16867	2	1
15285	0	1
15285	1	1
15285	2	1
10519	0	1
10519	1	1
10519	2	1
7993	0	1
7993	1	1
7993	2	1
4974	0	1
4974	1	1
4974	2	1
4304	0	1
4304	1	1
4304	2	1
8329	0	1
8329	1	1
8329	2	1
348	0	1
348	1	1
348	2	1
6721	0	1
6721	1	1
6721	2	1
5742	0	1
5742	1	1
5742	2	1
14889	0	1
14889	1	1
14889	2	1
13542	0	1
13542	1	1
13542	2	1
3586	0	1
3586	1	1
3586	2	1
6133	0	1
6133	1	1
6133	2	1
15271	0	1
15271	1	1
15271	2	1
10238	0	1
10238	1	1
10238	2	1
10300	0	1
10300	1	1
10300	2	1
4030	0	1
4030	1	1
4030	2	1
15698	0	1
15698	1	1
15698	2	1
6386	0	1
6386	1	1
6386	2	1
16773	0	1
16773	1	1
16773	2	1
1747	0	1
1747	1	1
1747	2	1
5529	3	1
5529	4	1
5529	5	1
8598	3	1
8598	4	1
8598	5	1
13886	3	1
13886	4	1
13886	5	1
6484	3	1
6484	4	1
6484	5	1
13436	3	1
13436	4	1
13436	5	1
18741	3	1
18741	4	1
18741	5	1
3503	3	1
3503	4	1
3503	5	1
11796	3	1
11796	4	1
11796	5	1
16013	3	1
16013	4	1
16013	5	1
1741	3	1
1741	4	1
1741	5	1
15205	3	1
15205	4	1
15205	5	1
10792	3	1
10792	4	1
10792	5	1
769	3	1
769	4	1
769	5	1
14645	3	1
14645	4	1
14645	5	1
7867	3	1
7867	4	1
7867	5	1
15189	3	1
15189	4	1
15189	5	1
12030	3	1
12030	4	1
12030	5	1
9161	3	1
9161	4	1
9161	5	1
18743	3	1
18743	4	1
18743	5	1
2961	3	1
2961	4	1
2961	5	1
4360	3	1
4360	4	1
4360	5	1
17733	3	1
17733	4	1
17733	5	1
12452	3	1
12452	4	1
12452	5	1
2898	3	1
2898	4	1
2898	5	1
909	3	1
909	4	1
909	5	1
5826	3	1
5826	4	1
5826	5	1
7804	3	1
7804	4	1
7804	5	1
9460	3	1
9460	4	1
9460	5	1
4329	3	1
4329	4	1
4329	5	1
12899	3	1
12899	4	1
12899	5	1
10012	3	1
10012	4	1
10012	5	1
14239	3	1
14239	4	1
14239	5	1
11887	3	1
11887	4	1
11887	5	1
3838	3	1
3838	4	1
3838	5	1
10754	3	1
10754	4	1
10754	5	1
13159	6	1
13159	7	1
13159	8	1
16478	6	1
16478	7	1
16478	8	1
8798	6	1
8798	7	1
8798	8	1
388	6	1
388	7	1
388	8	1
5246	6	1
5246	7	1
5246	8	1
3373	6	1
3373	7	1
