query-id	corpus-id	score
45324	0	1
45324	1	1
34026	2	1
34026	3	1
27612	4	1
27612	3	1
17291	5	1
17291	6	1
42797	6	1
42797	7	1
7026	6	1
7026	7	1
38336	6	1
38336	7	1
72637	6	1
72637	7	1
2758	6	1
2758	7	1
42958	6	1
42958	7	1
74892	8	1
74892	5	1
67086	8	1
67086	10	1
2954	8	1
2954	10	1
79810	8	1
79810	10	1
38405	8	1
38405	10	1
37755	8	1
37755	10	1
58843	8	1
58843	10	1
66948	8	1
66948	10	1
57703	8	1
57703	10	1
32718	0	1
32718	5	1
9153	0	1
9153	5	1
68141	6	1
68141	11	1
79388	3	1
79388	11	1
68614	3	1
68614	11	1
2294	6	1
2294	11	1
42266	6	1
42266	11	1
50975	3	1
50975	11	1
63244	0	1
63244	4	1
63244	12	1
63244	13	1
73108	0	1
73108	6	1
76525	4	1
76525	3	1
39768	0	1
39768	3	1
76583	4	1
76583	6	1
62064	5	1
62064	14	1
82448	5	1
82448	14	1
41715	1	1
41715	10	1
22352	6	1
22352	8	1
234	1	1
234	6	1
38530	10	1
38530	8	1
34590	10	1
34590	8	1
33207	10	1
33207	8	1
28752	6	1
28752	8	1
1903	10	1
1903	6	1
48619	10	1
48619	6	1
59431	2	1
59431	15	1
59431	16	1
18263	2	1
18263	17	1
18263	16	1
53310	2	1
53310	14	1
53310	16	1
68545	18	1
68545	12	1
65303	18	1
65303	12	1
33611	4	1
33611	1	1
23689	10	1
23689	16	1
25410	19	1
25410	1	1
7448	4	1
7448	1	1
14025	10	1
14025	16	1
25615	4	1
25615	1	1
78964	19	1
78964	1	1
71296	4	1
71296	1	1
24902	10	1
24902	16	1
68965	19	1
68965	1	1
2990	0	1
2990	5	1
2990	15	1
48898	0	1
48898	5	1
48898	15	1
53094	0	1
53094	5	1
53094	15	1
9931	0	1
9931	5	1
9931	15	1
28465	0	1
28465	5	1
28465	15	1
38344	0	1
38344	5	1
38344	15	1
46720	0	1
46720	5	1
46720	15	1
68444	0	1
68444	5	1
68444	15	1
17426	0	1
17426	5	1
17426	15	1
24225	20	1
24225	0	1
41970	20	1
41970	0	1
80041	21	1
80041	9	1
80041	22	1
80041	19	1
6381	8	1
6381	6	1
28097	22	1
28097	4	1
49500	8	1
49500	21	1
49500	4	1
3180	21	1
3180	9	1
3180	4	1
55493	8	1
55493	19	1
18340	21	1
18340	9	1
18340	4	1
53945	22	1
53945	4	1
72087	8	1
72087	21	1
72087	4	1
33675	21	1
33675	9	1
33675	4	1
44437	6	1
44437	4	1
6779	3	1
6779	4	1
20257	3	1
20257	23	1
60947	5	1
60947	14	1
60947	24	1
21000	5	1
21000	14	1
21000	24	1
35281	5	1
35281	14	1
35281	15	1
29844	5	1
29844	14	1
29844	24	1
22825	5	1
22825	14	1
22825	24	1
16118	5	1
16118	14	1
16118	15	1
27019	5	1
27019	14	1
27019	24	1
18051	5	1
18051	14	1
18051	24	1
60496	5	1
60496	14	1
60496	15	1
31197	5	1
31197	8	1
23208	5	1
23208	8	1
71539	5	1
71539	8	1
9385	5	1
9385	8	1
46045	5	1
46045	8	1
5838	5	1
5838	8	1
61021	5	1
61021	8	1
42685	5	1
42685	8	1
23504	5	1
23504	8	1
40602	25	1
40602	26	1
40602	27	1
40602	28	1
60648	29	1
60648	30	1
42480	31	1
42480	30	1
21679	29	1
21679	30	1
64740	31	1
64740	30	1
56198	29	1
56198	30	1
33047	29	1
33047	30	1
81741	31	1
81741	30	1
12403	31	1
12403	30	1
82306	29	1
82306	30	1
58762	32	1
58762	33	1
57122	34	1
57122	32	1
5209	34	1
5209	32	1
6610	35	1
6610	36	1
6610	37	1
18846	35	1
18846	36	1
18846	37	1
24741	35	1
24741	36	1
24741	37	1
30992	40	1
30992	41	1
11782	38	1
11782	39	1
29137	38	1
29137	41	1
51401	38	1
51401	39	1
10828	40	1
10828	41	1
81305	38	1
81305	39	1
15309	42	1
15309	43	1
30794	42	1
30794	44	1
43140	42	1
43140	45	1
23969	46	1
23969	47	1
69634	48	1
69634	49	1
18399	48	1
18399	47	1
16122	48	1
16122	50	1
16122	49	1
70778	46	1
70778	45	1
57569	46	1
57569	50	1
57569	49	1
23946	48	1
23946	50	1
23946	49	1
10147	51	1
10147	52	1
1429	53	1
1429	54	1
11385	55	1
11385	56	1
11385	57	1
78508	55	1
78508	58	1
78508	57	1
9772	55	1
9772	59	1
9772	60	1
23606	55	1
23606	56	1
50541	55	1
50541	61	1
50541	60	1
44767	55	1
44767	59	1
44767	60	1
57163	55	1
57163	58	1
57163	60	1
79339	55	1
79339	58	1
79339	57	1
11116	62	1
11116	64	1
11116	66	1
19570	62	1
19570	64	1
19570	65	1
59615	62	1
59615	66	1
70848	63	1
70848	64	1
70848	66	1
55107	62	1
55107	66	1
10963	62	1
10963	63	1
10963	64	1
19313	62	1
19313	64	1
19313	65	1
16659	67	1
16659	68	1
16659	69	1
16659	70	1
79114	68	1
79114	71	1
79114	72	1
32355	71	1
32355	69	1
32355	70	1
77669	68	1
77669	73	1
73915	67	1
73915	69	1
73915	70	1
18823	71	1
18823	72	1
66759	68	1
66759	69	1
66759	70	1
36170	74	1
36170	75	1
31979	74	1
31979	75	1
44178	74	1
44178	75	1
54275	74	1
54275	75	1
64541	74	1
64541	75	1
67524	76	1
67524	77	1
36045	76	1
36045	78	1
73079	76	1
73079	79	1
8579	76	1
8579	80	1
64947	76	1
64947	77	1
49395	76	1
49395	78	1
58493	76	1
58493	79	1
73307	76	1
73307	80	1
54628	76	1
54628	77	1
25285	76	1
25285	78	1
11850	81	1
11850	82	1
20139	81	1
20139	83	1
31092	81	1
31092	82	1
26717	81	1
26717	83	1
29586	81	1
29586	82	1
3988	81	1
3988	83	1
49410	81	1
49410	82	1
14226	83	1
14226	82	1
75016	81	1
75016	82	1
52147	81	1
52147	82	1
24546	35	1
24546	84	1
5911	35	1
5911	84	1
5274	35	1
5274	84	1
73084	35	1
73084	84	1
57629	35	1
57629	84	1
34035	35	1
34035	84	1
10298	35	1
10298	84	1
34680	35	1
34680	84	1
43365	35	1
43365	84	1
33867	35	1
33867	84	1
35201	85	1
35201	86	1
35201	87	1
27250	88	1
27250	89	1
27250	90	1
27250	91	1
31959	85	1
31959	92	1
31959	90	1
31959	91	1
44947	85	1
44947	86	1
44947	87	1
36768	85	1
36768	86	1
36768	92	1
76059	85	1
76059	86	1
76059	87	1
41886	85	1
41886	88	1
41886	89	1
41886	91	1
46836	89	1
46836	91	1
46836	93	1
46836	94	1
24326	95	1
24326	96	1
30501	97	1
30501	98	1
18101	99	1
18101	100	1
16012	97	1
16012	101	1
38394	102	1
38394	100	1
79547	97	1
79547	96	1
37050	103	1
37050	104	1
7377	103	1
7377	104	1
6590	103	1
6590	104	1
26742	103	1
26742	104	1
26613	103	1
26613	104	1
48568	103	1
48568	104	1
69959	105	1
69959	106	1
69959	107	1
69959	108	1
35945	105	1
35945	107	1
35945	108	1
40932	105	1
40932	106	1
40932	107	1
40932	109	1
72567	105	1
72567	106	1
72567	107	1
72567	108	1
69561	105	1
69561	106	1
69561	107	1
69561	108	1
25019	105	1
25019	106	1
25019	107	1
25019	108	1
72420	105	1
72420	106	1
72420	107	1
72420	108	1
71086	105	1
71086	106	1
71086	107	1
71086	108	1
11447	105	1
11447	106	1
11447	107	1
11447	108	1
35343	110	1
35343	113	1
35343	114	1
80142	110	1
80142	111	1
80142	112	1
14165	110	1
14165	111	1
14165	112	1
58006	110	1
58006	111	1
58006	112	1
56478	110	1
56478	111	1
56478	112	1
61827	115	1
61827	116	1
78714	115	1
78714	102	1
78714	117	1
59095	115	1
59095	118	1
59095	117	1
80862	118	1
80862	116	1
19437	118	1
19437	116	1
21782	118	1
21782	116	1
70986	118	1
70986	117	1
33476	118	1
33476	116	1
57118	118	1
57118	116	1
34235	119	1
34235	120	1
34235	121	1
68495	119	1
68495	120	1
68495	121	1
25818	122	1
25818	123	1
16078	124	1
16078	125	1
55795	124	1
55795	126	1
61366	122	1
61366	123	1
1391	122	1
1391	123	1
70672	124	1
70672	126	1
18385	129	1
18385	70	1
742	127	1
742	128	1
72498	129	1
72498	70	1
11739	130	1
11739	131	1
9079	132	1
9079	131	1
5634	133	1
5634	134	1
5634	135	1
50325	134	1
50325	138	1
38342	134	1
38342	137	1
38342	138	1
59107	134	1
59107	137	1
59107	138	1
33892	139	1
33892	140	1
33892	141	1
30715	142	1
30715	140	1
30715	141	1
33682	139	1
33682	140	1
33682	141	1
7839	142	1
7839	140	1
7839	141	1
39014	139	1
39014	140	1
39014	141	1
23716	142	1
23716	140	1
23716	141	1
73136	139	1
73136	140	1
73136	141	1
68581	139	1
68581	140	1
68581	141	1
42231	142	1
42231	140	1
42231	141	1
15863	116	1
15863	143	1
15863	144	1
11610	116	1
11610	143	1
52954	116	1
52954	143	1
6615	116	1
6615	145	1
19422	116	1
19422	143	1
5599	116	1
5599	143	1
1646	146	1
1646	147	1
13247	148	1
13247	149	1
80857	150	1
80857	151	1
80857	152	1
30912	150	1
30912	151	1
30912	152	1
40697	150	1
40697	151	1
40697	152	1
6346	150	1
6346	151	1
6346	152	1
57808	150	1
57808	151	1
57808	152	1
8808	150	1
8808	151	1
8808	152	1
54872	150	1
54872	151	1
54872	152	1
67241	150	1
67241	151	1
67241	152	1
51658	150	1
51658	151	1
51658	152	1
3218	150	1
3218	151	1
3218	152	1
34356	153	1
34356	154	1
34356	155	1
30488	154	1
30488	155	1
81818	153	1
81818	154	1
81818	155	1
81249	153	1
81249	154	1
81249	155	1
78009	154	1
78009	155	1
13833	154	1
13833	155	1
38268	153	1
38268	154	1
38268	155	1
62371	154	1
62371	155	1
47687	153	1
47687	154	1
47687	155	1
24887	156	1
24887	157	1
64428	158	1
64428	157	1
36397	158	1
36397	157	1
29358	156	1
29358	157	1
64305	158	1
64305	157	1
16642	156	1
16642	157	1
81195	156	1
81195	157	1
59795	158	1
59795	157	1
39894	158	1
39894	157	1
8443	159	1
8443	160	1
22763	159	1
22763	160	1
24888	161	1
24888	124	1
64460	124	1
64460	162	1
59462	163	1
59462	164	1
59462	165	1
59462	166	1
81913	163	1
81913	164	1
81913	165	1
81913	167	1
15543	163	1
15543	164	1
15543	168	1
15543	167	1
81721	163	1
81721	164	1
81721	165	1
81721	167	1
3365	163	1
3365	164	1
3365	165	1
3365	166	1
32884	169	1
32884	170	1
54300	169	1
54300	171	1
51364	172	1
51364	173	1
39639	172	1
39639	173	1
43521	172	1
43521	173	1
68626	172	1
68626	173	1
6519	172	1
6519	173	1
65786	172	1
65786	173	1
67223	174	1
67223	175	1
67109	176	1
67109	177	1
6009	178	1
6009	177	1
71810	176	1
71810	177	1
70854	178	1
70854	177	1
64912	176	1
64912	177	1
21687	176	1
21687	177	1
27425	178	1
27425	177	1
5880	176	1
5880	177	1
36569	179	1
36569	43	1
36569	111	1
81975	43	1
81975	112	1
33571	43	1
33571	111	1
8307	179	1
8307	43	1
35622	180	1
35622	181	1
35622	182	1
9596	180	1
9596	181	1
9596	183	1
50654	180	1
50654	181	1
50654	182	1
71311	180	1
71311	181	1
71311	182	1
19689	180	1
19689	181	1
19689	182	1
47246	180	1
47246	181	1
47246	182	1
46773	180	1
46773	181	1
46773	182	1
74711	184	1
74711	185	1
1805	189	1
1805	186	1
1805	188	1
42773	189	1
42773	186	1
42773	188	1
804	189	1
804	186	1
804	188	1
13641	189	1
13641	186	1
13641	188	1
59326	189	1
59326	186	1
59326	188	1
71157	190	1
71157	191	1
18379	190	1
18379	191	1
34123	190	1
34123	191	1
43883	190	1
43883	191	1
37494	192	1
37494	193	1
11456	192	1
11456	194	1
21285	192	1
21285	193	1
34982	192	1
34982	193	1
80254	192	1
80254	193	1
58301	192	1
58301	193	1
63215	192	1
63215	193	1
41689	192	1
41689	193	1
57797	176	1
57797	195	1
9253	196	1
9253	197	1
36328	197	1
36328	198	1
36565	195	1
36565	199	1
6354	85	1
6354	201	1
67929	85	1
67929	202	1
25116	86	1
25116	203	1
15533	86	1
15533	201	1
49569	86	1
49569	201	1
29367	153	1
29367	204	1
6050	153	1
6050	205	1
58239	206	1
58239	207	1
64580	206	1
64580	208	1
4882	206	1
4882	207	1
59450	209	1
59450	210	1
59450	211	1
59450	212	1
64977	213	1
64977	211	1
64977	212	1
78345	210	1
78345	211	1
78345	212	1
32050	209	1
32050	210	1
32050	211	1
32050	212	1
7896	210	1
7896	213	1
7896	211	1
7896	212	1
4104	210	1
4104	213	1
4104	211	1
4104	212	1
59010	122	1
59010	214	1
59010	215	1
59010	216	1
38215	122	1
38215	150	1
82386	122	1
82386	215	1
34290	122	1
34290	215	1
72737	217	1
72737	90	1
72737	91	1
34574	218	1
34574	219	1
62615	218	1
62615	219	1
73482	218	1
73482	219	1
4117	218	1
4117	219	1
26388	218	1
26388	219	1
46744	145	1
46744	220	1
46744	221	1
13965	222	1
13965	223	1
13965	224	1
14947	223	1
14947	145	1
14947	220	1
21083	145	1
21083	220	1
21083	221	1
9405	222	1
9405	223	1
9405	224	1
74710	222	1
74710	223	1
74710	224	1
51800	145	1
51800	220	1
51800	221	1
42999	222	1
42999	223	1
42999	224	1
22670	225	1
22670	226	1
43056	227	1
43056	228	1
36112	230	1
36112	231	1
32238	227	1
32238	229	1
38390	227	1
38390	228	1
49167	227	1
49167	232	1
31209	233	1
31209	198	1
47579	233	1
47579	234	1
37211	233	1
37211	200	1
68690	233	1
68690	234	1
27214	235	1
27214	236	1
27214	237	1
30356	235	1
30356	236	1
30356	237	1
24761	235	1
24761	236	1
24761	237	1
70428	235	1
70428	236	1
70428	238	1
61772	239	1
61772	97	1
61772	159	1
73449	97	1
73449	85	1
73449	159	1
80993	240	1
80993	159	1
31650	97	1
31650	85	1
42646	97	1
42646	159	1
9520	240	1
9520	85	1
9520	159	1
44016	239	1
44016	85	1
12918	97	1
12918	159	1
2312	241	1
2312	242	1
1338	243	1
1338	244	1
6070	242	1
6070	245	1
73543	246	1
73543	247	1
77227	242	1
77227	248	1
27412	246	1
27412	244	1
25148	249	1
25148	250	1
25148	251	1
68449	250	1
68449	251	1
17077	104	1
17077	252	1
5478	253	1
5478	254	1
5478	255	1
77970	256	1
77970	257	1
29437	256	1
29437	184	1
29437	255	1
70021	256	1
70021	257	1
43669	253	1
43669	254	1
43669	255	1
55281	256	1
55281	257	1
79901	258	1
79901	259	1
79901	260	1
79901	261	1
48993	258	1
48993	259	1
48993	260	1
48993	261	1
64999	262	1
64999	263	1
64999	264	1
64999	265	1
7366	262	1
7366	264	1
7366	265	1
66009	263	1
66009	264	1
66009	265	1
70331	262	1
70331	263	1
70331	264	1
70331	265	1
31467	262	1
31467	263	1
31467	264	1
31467	265	1
23897	262	1
23897	263	1
23897	264	1
23897	265	1
44709	262	1
44709	263	1
44709	264	1
44709	265	1
5631	263	1
5631	264	1
5631	265	1
16142	266	1
16142	267	1
21097	266	1
21097	268	1
15801	266	1
15801	267	1
13175	269	1
13175	270	1
55720	271	1
55720	272	1
35094	269	1
35094	273	1
56303	274	1
56303	272	1
46787	237	1
46787	26	1
46787	27	1
28320	27	1
28320	28	1
28320	275	1
64724	26	1
64724	275	1
71391	237	1
71391	27	1
71391	28	1
29829	26	1
29829	27	1
29829	275	1
57562	26	1
57562	275	1
34152	26	1
34152	275	1
60657	237	1
60657	26	1
60657	27	1
73723	27	1
73723	28	1
73723	275	1
68519	276	1
68519	277	1
68519	278	1
7051	279	1
7051	277	1
15946	280	1
15946	278	1
44839	277	1
44839	278	1
31271	280	1
31271	277	1
27751	280	1
27751	278	1
75347	280	1
75347	277	1
52760	280	1
52760	278	1
22071	280	1
22071	277	1
23815	281	1
23815	282	1
25576	283	1
25576	284	1
25576	217	1
42313	283	1
42313	217	1
67263	283	1
67263	217	1
11958	283	1
11958	217	1
62502	284	1
62502	149	1
62502	217	1
16996	283	1
16996	217	1
34872	284	1
34872	149	1
34872	217	1
6449	284	1
6449	149	1
6449	217	1
17634	285	1
17634	286	1
10263	287	1
10263	288	1
7933	285	1
7933	286	1
64782	287	1
64782	288	1
75517	285	1
75517	286	1
3054	30	1
3054	289	1
3054	146	1
41897	290	1
41897	30	1
41897	146	1
16019	30	1
16019	289	1
16019	146	1
7411	290	1
7411	30	1
7411	146	1
11388	290	1
11388	30	1
11388	146	1
41180	30	1
41180	289	1
41180	146	1
32937	290	1
32937	30	1
32937	146	1
29375	290	1
29375	30	1
29375	146	1
54226	30	1
54226	289	1
54226	146	1
13828	291	1
13828	292	1
13828	152	1
69356	293	1
69356	292	1
69356	152	1
18988	291	1
18988	293	1
18988	292	1
18988	152	1
18230	291	1
18230	293	1
18230	292	1
18230	152	1
25428	291	1
25428	292	1
25428	152	1
75845	291	1
75845	292	1
75845	152	1
77327	293	1
77327	292	1
77327	152	1
41196	291	1
41196	292	1
41196	152	1
27453	291	1
27453	293	1
27453	292	1
27453	152	1
34094	294	1
34094	163	1
34094	173	1
44065	294	1
44065	163	1
44065	173	1
174	294	1
174	163	1
174	173	1
32019	294	1
32019	163	1
32019	173	1
28946	294	1
28946	163	1
28946	173	1
58050	294	1
58050	163	1
58050	173	1
21029	294	1
21029	163	1
21029	173	1
80629	294	1
80629	163	1
80629	173	1
39763	294	1
39763	163	1
39763	173	1
64719	295	1
64719	296	1
64719	81	1
9400	297	1
9400	296	1
9400	298	1
9400	52	1
66278	297	1
66278	296	1
66278	299	1
75619	297	1
75619	296	1
75619	81	1
60656	297	1
60656	296	1
60656	299	1
60184	297	1
60184	296	1
60184	81	1
46754	295	1
46754	296	1
46754	81	1
62038	300	1
62038	73	1
62038	47	1
62038	301	1
7119	302	1
7119	303	1
39583	304	1
39583	303	1
64584	305	1
64584	303	1
67554	304	1
67554	303	1
42177	203	1
42177	306	1
42177	307	1
42177	308	1
43811	285	1
43811	307	1
43811	309	1
28672	203	1
28672	113	1
28672	307	1
28672	309	1
26402	203	1
26402	308	1
26402	309	1
81643	203	1
81643	308	1
81643	309	1
28872	203	1
28872	306	1
28872	307	1
28872	309	1
6426	203	1
6426	308	1
6426	309	1
7232	275	1
7232	311	1
7232	89	1
7232	88	1
59538	275	1
59538	311	1
59538	92	1
4438	275	1
4438	311	1
4438	89	1
4438	88	1
25097	275	1
25097	311	1
25097	89	1
25097	88	1
72047	275	1
72047	311	1
72047	92	1
72889	275	1
72889	311	1
72889	89	1
72889	88	1
6794	275	1
6794	311	1
6794	92	1
77219	275	1
77219	311	1
77219	89	1
77219	88	1
78997	275	1
78997	311	1
78997	92	1
30511	275	1
30511	311	1
30511	89	1
30511	88	1
74525	312	1
74525	313	1
74525	314	1
42242	313	1
42242	314	1
78456	315	1
78456	314	1
72080	315	1
72080	314	1
44203	315	1
44203	314	1
82406	315	1
82406	314	1
37009	312	1
37009	313	1
37009	314	1
16655	315	1
16655	314	1
63674	313	1
63674	314	1
44864	315	1
44864	314	1
6728	316	1
6728	317	1
81895	316	1
81895	317	1
20846	318	1
20846	319	1
20846	252	1
40538	320	1
40538	317	1
40648	321	1
40648	322	1
61429	104	1
61429	323	1
77854	324	1
77854	210	1
65469	325	1
65469	326	1
23824	104	1
23824	323	1
23824	210	1
28377	104	1
28377	210	1
28377	326	1
5216	104	1
5216	210	1
5216	326	1
12189	29	1
12189	327	1
41398	328	1
41398	329	1
41398	76	1
65221	330	1
65221	329	1
65221	327	1
81287	328	1
81287	29	1
14009	330	1
14009	329	1
14009	76	1
61462	328	1
61462	76	1
81680	328	1
81680	329	1
81680	29	1
34370	328	1
34370	327	1
79375	330	1
79375	329	1
79375	327	1
3546	331	1
3546	332	1
3546	333	1
3546	334	1
78295	108	1
78295	109	1
78295	331	1
78295	335	1
9864	108	1
9864	331	1
9864	336	1
52030	335	1
52030	336	1
52030	332	1
2209	108	1
2209	331	1
2209	332	1
67876	335	1
67876	336	1
67876	332	1
71968	337	1
71968	338	1
67784	337	1
67784	338	1
10330	337	1
10330	338	1
39016	31	1
39016	148	1
44680	31	1
44680	323	1
8552	31	1
8552	148	1
82008	339	1
82008	48	1
67798	339	1
67798	50	1
47155	339	1
47155	50	1
6885	339	1
6885	48	1
31634	339	1
31634	50	1
54328	339	1
54328	46	1
77438	339	1
77438	50	1
37630	339	1
37630	48	1
53089	339	1
53089	50	1
63083	340	1
63083	251	1
48529	341	1
48529	251	1
54152	41	1
54152	251	1
7394	340	1
7394	251	1
26412	341	1
26412	251	1
67658	340	1
67658	251	1
7451	341	1
7451	251	1
1585	41	1
1585	251	1
21719	341	1
21719	251	1
36175	300	1
36175	73	1
36175	342	1
80634	73	1
80634	343	1
76142	300	1
76142	73	1
76142	342	1
63817	300	1
63817	73	1
63817	342	1
42175	344	1
42175	156	1
72031	345	1
72031	346	1
72031	347	1
35393	348	1
35393	349	1
3573	158	1
3573	346	1
27689	156	1
27689	347	1
16602	158	1
16602	349	1
14030	156	1
14030	347	1
71650	344	1
71650	349	1
44440	158	1
44440	346	1
24877	350	1
24877	351	1
24877	352	1
28939	350	1
28939	352	1
17240	350	1
17240	352	1
65575	350	1
65575	352	1
2840	350	1
2840	352	1
42293	350	1
42293	352	1
44151	350	1
44151	352	1
21796	350	1
21796	352	1
21527	353	1
21527	354	1
21527	355	1
21527	62	1
33861	356	1
33861	353	1
33861	355	1
33861	62	1
77986	356	1
77986	353	1
77986	354	1
77986	355	1
12570	353	1
12570	354	1
12570	355	1
4870	357	1
4870	358	1
61463	359	1
61463	358	1
44902	177	1
44902	195	1
45634	177	1
45634	360	1
45634	361	1
67602	177	1
67602	360	1
67602	361	1
62955	177	1
62955	360	1
62955	361	1
52344	177	1
52344	195	1
56594	177	1
56594	360	1
56594	361	1
22207	177	1
22207	360	1
22207	361	1
34065	362	1
34065	363	1
11262	122	1
11262	364	1
28304	122	1
28304	364	1
22233	122	1
22233	364	1
70599	122	1
70599	364	1
17080	122	1
17080	364	1
18974	122	1
18974	364	1
33994	122	1
33994	364	1
49377	122	1
49377	364	1
561	122	1
561	364	1
32414	122	1
32414	364	1
22544	365	1
22544	366	1
22544	367	1
6452	368	1
6452	369	1
42360	366	1
42360	367	1
59336	369	1
